$csv_data = <<<'CSV'
"post_title","post_name","post_status","artsgruppe","vitenskapelig_navn","kort_beskrivelse","lang_beskrivelse","storrelse","vekt","kjennetegn","levested","utbredelse","sesong_aktiv_periode","mat_naering","rodlistestatus","status_i_norge","artsdatabanken_takson_id","kilde_artsdatabanken","kilde_snl","kilde_fuglevennen_miljolaere","kilde_birdlife_fugleatlas","sist_kontrollert","importstatus"
"Linerle","linerle","publish","Fugler","Motacilla alba","Linerle er en vanlig og lett gjenkjennelig trekkfugl med lang vippende stjert.","Linerle er en slank spurvefugl med svart, hvit og grå fjærdrakt og lang stjert som ofte vippes opp og ned. Den trives i åpne områder nær vann, gårder, hager og tettsteder, og plukker insekter på bakken eller i korte flygeturer.","Ca. 18 cm","Ca. 17–25 g","Slank svart-hvit-grå fugl med lang vippende stjert, svart bryst og hvitt ansikt hos voksne fugler.","Ferskvann, semi-naturlig mark, kyst, våtmark og sterkt endret mark.","Vanlig hekkefugl i store deler av Norge.","Trekkfugl. Kommer tidlig om våren og trekker sørover om høsten, men enkelte kan overvintre.","Insekter, larver, edderkopper og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4244","https://artsdatabanken.no/arter/takson/4244","https://snl.no/linerle","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Lirype","lirype","publish","Fugler","Lagopus lagopus","Lirype er en hønsefugl i fjell- og skogområder som skifter mellom brun sommerdrakt og hvit vinterdrakt.","Lirype er en rypeart som lever i bjørkeskog, vierbelter og fjellnære områder. Den har fjærkledde føtter og skifter drakt gjennom året, med hvit vinterdrakt og brunspettet sommerdrakt. Arten lever hovedsakelig av planteføde.","Ca. 35–40 cm","Ca. 450–750 g","Kompakt hønsefugl med fjærkledde føtter. Brunspettet sommerdrakt og hvit vinterdrakt; hannen har rød kam over øyet i hekketiden.","Fjell og skog, særlig fjellbjørkeskog, vierbelter og områder nær tregrensa.","Hekker i fjell- og skogområder i store deler av Norge.","Hele året. Standfugl med lokale forflytninger.","Knopper, skudd, blader, bær, frø og andre plantedeler.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3987","https://artsdatabanken.no/arter/takson/3987","https://snl.no/lirype","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Lomvi","lomvi","publish","Fugler","Uria aalge","Lomvi er en alkefugl som hekker i kolonier i fuglefjell og er kritisk truet i Fastlands-Norge.","Lomvi er en svart-hvit sjøfugl i alkefamilien. Den hekker tett i kolonier, ofte på åpne fjellhyller eller i steinur. Ungen forlater kolonien før den kan fly og blir fulgt ut på havet av en av foreldrene. Arten lever av fisk og andre marine byttedyr.","Ca. 38–46 cm","Ca. 800–1100 g","Svartbrun overside, hvit underside, spisst nebb og oppreist holdning på hekkeplassen. Ligner polarlomvi, men har smalere nebb og annen hodeform.","Saltvann, kyst og fuglefjell.","Hekker i kolonier langs kysten, men bestanden i Fastlands-Norge er sterkt redusert.","Hekker i sommerhalvåret. Oppholder seg ellers mest på havet.","Småfisk og andre marine byttedyr som fanges ved dykking.","CR – Kritisk truet","Finnes i Norge. Etablert, men kritisk truet hekkefugl på fastlandet.","3570","https://artsdatabanken.no/arter/takson/3570","https://snl.no/lomvi","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Lunde","lunde","publish","Fugler","Fratercula arctica","Lunde, også kalt sjøpapegøye, er en karakteristisk sjøfugl i fuglefjell og er sterkt truet i Fastlands-Norge.","Lunde er en alkefugl med svart overside, hvit underside og stort fargerikt nebb i hekketiden. Den hekker i kolonier i jordganger og hulrom i fuglefjell og grasbakker. Arten fanger småfisk ved dykking og frakter ofte flere fisk i nebbet til ungene.","Ca. 26–29 cm","Ca. 300–500 g","Svart-hvit sjøfugl med stort fargerikt trekantet nebb i hekketiden og oransje bein.","Saltvann, kyst og fuglefjell.","Hekker i kolonier langs kysten fra Rogaland og nordover, med store kolonier nord for polarsirkelen.","Hekker i sommerhalvåret. Oppholder seg ellers på havet.","Småfisk, særlig sil, lodde og annen stimfisk, samt marine smådyr.","EN – Sterkt truet","Finnes i Norge. Etablert, men sterkt truet hekkefugl på fastlandet.","203564","https://artsdatabanken.no/arter/takson/203564","https://snl.no/lunde","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Løvmeis","lovmeis","publish","Fugler","Poecile palustris","Løvmeis er en liten meis knyttet til løvskog, blandingsskog og buskrike områder.","Løvmeis er en liten meis med blank svart hette, liten svart strupeflekk, lys underside og brungrå overside. Den hekker i hulrom og er knyttet til løvskog, blandingsskog, parker og kantsoner. Arten lever av insekter, edderkopper og frø.","Ca. 11–12 cm","Ca. 9–12 g","Blank svart hette, liten svart strupeflekk, lys underside og brungrå overside. Ligner granmeis, men virker ofte mer blankhodet.","Skog og semi-naturlig mark, særlig løvskog, blandingsskog og buskrike kantsoner.","Hekker i store deler av Norge i egnede skog- og kantmiljøer.","Hele året. Hovedsakelig standfugl.","Insekter, edderkopper, larver, frø og bær. Kan besøke fuglematere.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203641","https://artsdatabanken.no/arter/takson/203641","https://snl.no/l%C3%B8vmeis","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Løvsanger","lovsanger","publish","Fugler","Phylloscopus trochilus","Løvsanger er en liten og svært vanlig sangfugl i skog og buskmark.","Løvsanger er en liten bladsanger med grønnlig overside, lys underside og lys øyenbrynstripe. Den hekker i mange typer skog, vierkratt, buskmark og hager. Arten er en av Norges vanligste fugler og lever av små insekter og andre virvelløse dyr.","Ca. 11–12 cm","Ca. 7–11 g","Liten grønnlig bladsanger med lys underside og lys øyenbrynstripe. Skillingen fra gransanger er ofte lettest på sangen.","Skog og semi-naturlig mark, særlig løv- og blandingsskog, vierkratt og buskrike områder.","Hekker vanlig over store deler av Norge.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, edderkopper og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4374","https://artsdatabanken.no/arter/takson/4374","https://snl.no/l%C3%B8vsanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Låvesvale","laavesvale","publish","Fugler","Hirundo rustica","Låvesvale er en smidig svale med lang kløftet stjert som hekker i bygninger og kulturlandskap.","Låvesvale er en trekkfugl som ofte hekker i fjøs, låver og andre bygninger. Den har blåsvart overside, lys underside, rødbrunt ansikt og lang, dypt kløftet stjert. Arten fanger flygende insekter i lufta og er knyttet til åpne landskap med bebyggelse og husdyrmiljøer.","Ca. 17–21 cm inkludert stjert","Ca. 16–25 g","Blåsvart overside, lys underside, rødbrunt ansikt og lang, dypt kløftet stjert.","Semi-naturlig mark, kulturlandskap, gårdsmiljø og bygninger.","Hekker i store deler av Norge der det finnes egnede bygninger og insektrike åpne landskap.","Trekkfugl. Ses i Norge vår til høst.","Flygende insekter som fanges i lufta.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203661","https://artsdatabanken.no/arter/takson/203661","https://snl.no/l%C3%A5vesvale","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Makrellterne","makrellterne","publish","Fugler","Sterna hirundo","Makrellterne er en grasiøs terne som hekker ved kyst og ferskvann, og er sterkt truet i Norge.","Makrellterne er en slank terne med gråhvit drakt, svart hette, rødt nebb med svart spiss og røde bein. Den hekker i kolonier på holmer, strender og grusflater ved kyst og ferskvann. Arten stuper etter småfisk og har hatt sterk tilbakegang i Norge.","Ca. 39 cm","Ca. 140 g","Gråhvit terne med svart hette, rødt nebb med svart spiss, røde bein og dypt kløftet stjert.","Kyst, saltvann, ferskvann, våtmark og åpne hekkeplasser på holmer, strender og grusflater.","Hekker langs kysten og lokalt ved ferskvann, særlig i Sør- og Midt-Norge.","Trekkfugl. Hekker i Norge om sommeren.","Småfisk og marine smådyr som fanges ved stupdykking.","EN – Sterkt truet","Finnes i Norge. Etablert, men sterkt truet hekkefugl.","203561","https://artsdatabanken.no/arter/takson/203561","https://snl.no/makrellterne","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Munk","munk","publish","Fugler","Sylvia atricapilla","Munk er en vanlig sangfugl i skog og hager, kjent for kraftig og melodisk sang.","Munk er en liten sanger med gråbrun kropp og tydelig hette. Hannen har svart hette, hunnen brun hette. Arten hekker i skog, hager, parker og buskrike områder. Den lever av insekter i hekketiden og spiser også mye bær på sensommeren og under trekk.","Ca. 13–15 cm","Ca. 15–25 g","Gråbrun sanger med tydelig hette; svart hos hannen og brun hos hunnen. Kraftig, melodisk sang.","Skog og semi-naturlig mark, hager, parker og buskrike områder.","Hekker i store deler av Norge, særlig i Sør-Norge og langs kysten.","Trekkfugl, men enkelte kan overvintre i milde områder.","Insekter, larver, edderkopper og bær.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203675","https://artsdatabanken.no/arter/takson/203675","https://snl.no/munk","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Musvåk","musvaak","publish","Fugler","Buteo buteo","Musvåk er en bredvinget rovfugl i skog og kulturlandskap.","Musvåk er en mellomstor rovfugl med brede vinger, kort hals og avrundet stjert. Den jakter ofte fra sitteposter eller ved å kretse over åpne områder. Arten hekker i skog, men jakter gjerne over enger, åkre, beitemark og andre åpne områder.","Ca. 51–57 cm","Ca. 550–1300 g","Bredvinget rovfugl med kompakt kropp og variabel brun fjærdrakt. Svever ofte i sirkler over åpne landskap.","Skog, semi-naturlig mark og sterkt endret mark, særlig skog nær åpne jaktområder.","Hekker spredt i store deler av Norge, særlig i Sør-Norge.","Trekkfugl eller delvis standfugl. Noen overvintrer i milde områder.","Smågnagere, fugler, amfibier, meitemark, insekter og åtsel.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3795","https://artsdatabanken.no/arter/takson/3795","https://snl.no/musv%C3%A5k","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Myrhauk","myrhauk","publish","Fugler","Circus cyaneus","Myrhauk er en slank rovfugl i fjell og våtmark, vurdert som sterkt truet i Norge.","Myrhauk er en slank kjerrhauk med lange vinger og lav jaktflukt over myr, hei og åpne fjellområder. Hannen er lys grå med svarte vingespisser, mens hunnen er brun med lys overgump. Arten hekker på bakken og lever særlig av smågnagere og småfugl.","Ca. 43–52 cm","Ca. 300–700 g","Slank rovfugl med lange vinger. Hannen er lys grå, hunnen brun med hvit overgump.","Fjell og våtmark, særlig åpne myrer, hei og fjellområder.","Hekker spredt og fåtallig i Norge.","Trekkfugl eller delvis trekkfugl. Hekker i Norge om sommeren.","Smågnagere, småfugl og andre smådyr.","EN – Sterkt truet","Finnes i Norge. Etablert, men sterkt truet hekkefugl.","203596","https://artsdatabanken.no/arter/takson/203596","https://snl.no/myrhauk","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Myrrikse","myrrikse","publish","Fugler","Porzana porzana","Myrrikse er en skjultlevende rikse i våtmark og sivområder, vurdert som sterkt truet i Norge.","Myrrikse er en liten riksefugl som lever skjult i tett våtmarksvegetasjon. Den har brunspettet overside, blågrått bryst og tydelige lyse prikker på kroppssidene. Arten avsløres ofte lettere på lyden enn ved synsobservasjoner og hekker fåtallig i Norge.","Ca. 19–22 cm","Ca. 60–110 g","Liten rikse med brunspettet overside, blågrått bryst, lyse prikker på sidene og kort nebb med gulaktig basis.","Våtmark og ferskvann, særlig tette siv-, starr- og sumpområder.","Fåtallig og lokal hekkefugl i Norge.","Trekkfugl. Ses og høres i Norge i hekketiden.","Insekter, larver, snegler, små krepsdyr og andre smådyr, samt noe plantemateriale.","EN – Sterkt truet","Finnes i Norge. Fåtallig etablert hekkefugl.","4026","https://artsdatabanken.no/arter/takson/4026","https://snl.no/myrrikse","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Myrsanger","myrsanger","publish","Fugler","Acrocephalus palustris","Myrsanger er en liten kjerrsanger i fuktige, buskrike områder og våtmark.","Myrsanger er en brunlig og anonym sangfugl som ligner flere andre kjerrsangere, men har en svært variert og imiterende sang. Den trives i frodig vegetasjon nær vann, våtmark, fuktige enger og buskrike kantsoner. Arten lever av insekter og andre smådyr.","Ca. 13 cm","Ca. 10–15 g","Brunlig kjerrsanger med lys underside og lite tydelige feltkjennetegn. Sangen er variert og ofte full av imitasjoner.","Våtmark, semi-naturlig mark og ferskvann, særlig frodig og fuktig vegetasjon.","Hekker lokalt i Norge, særlig i Sør-Norge og egnede fuktige områder.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, edderkopper og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4338","https://artsdatabanken.no/arter/takson/4338","https://snl.no/myrsanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 5 - grunnfelt kontrollert"
"Myrsnipe","myrsnipe","publish","Fugler","Calidris alpina","Myrsnipe er en liten vadefugl som hekker i fjell, våtmark og kystnære myrområder.","Myrsnipe er en liten snipe med relativt langt, svakt nedoverbøyd nebb. I sommerdrakt har den rødbrun overside og tydelig svart bukflekk. Arten hekker i våte fjell- og myrområder, og opptrer ofte i flokker på mudderflater og strender under trekk.","Ca. 17–21 cm","Ca. 35–60 g","Liten vadefugl med svart bukflekk i sommerdrakt, rødbrun overside og svakt nedoverbøyd nebb.","Fjell, våtmark, kyst og mudderflater under trekk.","Hekker i egnede fjell- og våtmarksområder i Norge. Vanlig å se langs kysten under trekk.","Trekkfugl. Hekker i Norge om sommeren og sees langs kysten vår og høst.","Små insekter, larver, krepsdyr, mark og andre små virvelløse dyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl på Fastlands-Norge.","3674","https://artsdatabanken.no/arter/takson/3674","https://snl.no/myrsnipe","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Møller","moller","publish","Fugler","Curruca curruca","Møller er en liten sanger i busker, kratt og skogkanter.","Møller er en diskret gråbrun sanger med lys underside, grått hode og mørkere kinn. Den trives i busker, kratt, hager, skogkanter og halvåpne landskap. Arten lever hovedsakelig av insekter og andre smådyr, men kan også spise bær senere på sommeren.","Ca. 12–14 cm","Ca. 10–15 g","Grått hode, mørke kinn, brungrå overside og lys underside. Sangen er kort og skranglende.","Skog, skogkanter, kratt, hager og semi-naturlig mark.","Hekker spredt i store deler av Norge i egnede busk- og skogkantmiljøer.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, edderkopper og bær.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203685","https://artsdatabanken.no/arter/takson/203685","https://snl.no/m%C3%B8ller_-_fugl","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Måltrost","maaltrost","publish","Fugler","Turdus philomelos","Måltrost er en vanlig skogstrost med kraftig, gjentakende sang.","Måltrost er en mellomstor trost med brun overside og lys underside med mørke flekker. Den hekker i skog, parker og hager, og er særlig kjent for den klare sangen der korte motiv gjentas flere ganger. Arten lever av meitemark, snegler, insekter og bær.","Ca. 20–23 cm","Ca. 60–90 g","Brun overside og lys underside med mørke, pilformede flekker. Klar sang med gjentatte fraser.","Skog, parker, hager og skogkanter.","Vanlig hekkefugl i store deler av Norge.","Trekkfugl. Ses vanligst i Norge vår til høst, men enkelte kan overvintre i milde områder.","Meitemark, snegler, insekter, larver, bær og frukt.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203724","https://artsdatabanken.no/arter/takson/203724","https://snl.no/m%C3%A5ltrost","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Nattergal","nattergal","publish","Fugler","Luscinia luscinia","Nattergal er en fåtallig sangfugl med kraftig og variert sang i tett kratt og våtmarksnære områder.","Nattergal er en brunlig og nokså anonym småfugl som er langt lettere å høre enn å se. Den synger kraftig, ofte om natten, fra tett vegetasjon i våtmark, kratt, løvskog og buskrike områder. Arten er vurdert som nær truet i Norge.","Ca. 15–17 cm","Ca. 20–30 g","Brun overside, lysere underside, rødbrun stjert og svært kraftig, variert sang.","Våtmark, semi-naturlig mark, løvskog, kratt og tett buskvegetasjon.","Hekker fåtallig og lokalt i Sør-Norge, særlig i fuktige og buskrike områder.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, edderkopper, mark og bær.","NT – Nær truet","Finnes i Norge. Etablert, men fåtallig hekkefugl.","160527","https://artsdatabanken.no/arter/takson/160527","https://snl.no/nattergal","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Nattravn","nattravn","publish","Fugler","Caprimulgus europaeus","Nattravn er en nattaktiv fugl i åpne skogområder, kjent for langvarig, spinnende sang.","Nattravn er en kamuflasjefarget og nattaktiv fugl som jakter flygende insekter i skumring og natt. Den hekker på bakken i åpne furuskoger, hogstflater, lyngmarker og tørre skogsområder. Sangen er en lang, jevn og snurrende lyd som ofte høres i sommernatten.","Ca. 24–28 cm","Ca. 50–100 g","Gråbrun kamuflasjedrakt, langt vingespenn og lydløs flukt. Hannen har hvite flekker på vinger og stjert.","Skog, særlig åpne og tørre furuskoger, hogstflater, lyngmark og kantsoner.","Hekker spredt i Norge, særlig i Sør-Norge og i egnede åpne skogsområder.","Trekkfugl. Ses og høres i Norge om sommeren.","Flygende nattaktive insekter, særlig nattsvermere og biller.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203492","https://artsdatabanken.no/arter/takson/203492","https://snl.no/nattravn","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Nøttekråke","nottekraake","publish","Fugler","Nucifraga caryocatactes","Nøttekråke er en brun kråkefugl med lyse flekker, knyttet til skog og frørik vegetasjon.","Nøttekråke er en skoglevende kråkefugl med brun fjærdrakt tett oversådd med lyse flekker. Den lever mye av nøtter og konglefrø, særlig hasselnøtter og frø fra furuarter. Arten hamstrer mat og kan dermed bidra til spredning av nøtte- og frøplanter.","Ca. 32–35 cm","Ca. 130–200 g","Brun kråkefugl med mange hvite flekker, mørke vinger og hvit undergump. Kraftig nebb.","Skog, særlig barskog, blandingsskog og områder med hassel eller frørike trær.","Hekker spredt i Norge, med ulike underarter i sør og mer nordøstlige områder.","Hele året. Hovedsakelig standfugl, men kan opptre invasjonsartet enkelte år.","Hasselnøtter, konglefrø, bær, insekter og annen animalsk føde.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4093","https://artsdatabanken.no/arter/takson/4093","https://snl.no/n%C3%B8ttekr%C3%A5ke","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Nøtteskrike","notteskrike","publish","Fugler","Garrulus glandarius","Nøtteskrike er en fargerik kråkefugl i skog og kulturlandskap.","Nøtteskrike er en mellomstor kråkefugl med rosa-brun kropp, svart-hvitt vingemønster og et tydelig blått vingefelt. Den lever i skog, særlig løv- og blandingsskog, men bruker også parker og kulturlandskap. Arten er altetende og hamstrer ofte eikenøtter og annen mat.","Ca. 32–35 cm","Ca. 140–190 g","Rosa-brun kropp, svart skjeggstripe, hvit overgump og tydelig blått vingefelt med svarte striper.","Skog, semi-naturlig mark, parker og kulturlandskap.","Hekker relativt vanlig i Sør-Norge og deler av Trøndelag, mer spredt andre steder.","Hele året. Hovedsakelig standfugl.","Nøtter, frø, bær, insekter, egg, fugleunger og annen animalsk og vegetabilsk føde.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203630","https://artsdatabanken.no/arter/takson/203630","https://snl.no/n%C3%B8tteskrike","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Orrfugl","orrfugl","publish","Fugler","Lyrurus tetrix","Orrfugl er en skogshøne kjent for spill på åpne myrer og leikplasser om våren.","Orrfugl er en mellomstor hønsefugl der hannen er svartblå med lyreformet stjert og hvite vingebånd. Hunnen er brunspettet og godt kamuflert. Arten holder til i skog, myrkanter, bjørkeskog og kystlynghei, og hannene samles på spillplasser om våren.","Ca. 40–55 cm","Ca. 0,7–1,5 kg","Hannen er mørk med lyreformet stjert, røde øyebryn og hvite vingebånd. Hunnen er brunspettet.","Skog, myrkanter, kystlynghei og åpne skogområder.","Hekker i skog- og kystlandskap i store deler av Norge.","Hele året. Standfugl med lokale forflytninger.","Knopper, skudd, blader, bær, frø og noe insekter, særlig for kyllinger.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203489","https://artsdatabanken.no/arter/takson/203489","https://snl.no/orrfugl","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Perleugle","perleugle","publish","Fugler","Aegolius funereus","Perleugle er en liten skogugle med stort rundt hode og gule øyne.","Perleugle er en liten ugle knyttet til barskog og blandingsskog. Den hekker ofte i gamle spettehull eller fuglekasser, og bestanden varierer med tilgangen på smågnagere. Arten er nattaktiv og jakter særlig mus og andre smådyr.","Ca. 24–26 cm","Ca. 100–200 g","Liten ugle med stort hode, gule øyne, brun overside med hvite flekker og lys underside med brun tegning.","Skog, særlig barskog og blandingsskog med hulrom eller gamle spettehull.","Hekker i skogområder i store deler av Norge.","Hele året. Kan streife i dårlige smågnagerår.","Smågnagere, småfugl og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203605","https://artsdatabanken.no/arter/takson/203605","https://snl.no/perleugle","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Pilfink","pilfink","publish","Fugler","Passer montanus","Pilfink er en liten spurvefugl med kastanjebrun isse og svart kinnflekk.","Pilfink er en sosial spurvefugl som ofte lever nær mennesker, gårder, hager og kulturlandskap. Den hekker i hulrom i bygninger, trær eller fuglekasser. Arten lever av frø, korn og insekter, og kan besøke fuglematere.","Ca. 12–14 cm","Ca. 18–25 g","Kastanjebrun isse, hvite kinn med svart flekk, svart strupeflekk og brunstripet rygg. Kjønnene er like.","Semi-naturlig mark, sterkt endret mark, gårdsmiljø, hager og kulturlandskap.","Hekker lokalt i Norge, særlig i Sør-Norge og i områder nær mennesker.","Hele året. Hovedsakelig standfugl.","Frø, korn, matrester og insekter. Besøker gjerne fuglematere.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203740","https://artsdatabanken.no/arter/takson/203740","https://snl.no/pilfink","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Pirol","pirol","publish","Fugler","Oriolus oriolus","Pirol er en sjelden og fargerik fugl i Norge, med gul hann og fløytende sang.","Pirol er en stor og fargerik spurvefugl der hannen er gul med svarte vinger, mens hunnen er grønnlig og mer diskret. Arten er knyttet til løvskog, parker og varme, åpne skogmiljøer. I Norge forekommer den sjeldent og er ikke egnet for ordinær rødlistekategori.","Ca. 22–25 cm","Ca. 50–90 g","Hannen er klart gul med svarte vinger og rødlig nebb. Hunnen er grønnlig med lysere underside.","Skog, løvskog, parker og semi-naturlig mark.","Forekommer sjeldent i Norge, særlig i Sør-Norge.","Trekkfugl. Ses sporadisk i Norge vår og sommer.","Insekter, larver, bær og frukt.","NA – Ikke egnet","Finnes i Norge, men er ikke egnet for ordinær rødlistekategori i Artsdatabanken-visningen.","203628","https://artsdatabanken.no/arter/takson/203628","https://snl.no/pirol","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Polarlomvi","polarlomvi","publish","Fugler","Uria lomvia","Polarlomvi er en arktisk alkefugl som hekker i fuglefjell og er kritisk truet på Fastlands-Norge.","Polarlomvi er en svart-hvit sjøfugl i alkefamilien og ligner lomvi, men har kortere og kraftigere nebb med en smal lys stripe. Den hekker i arktiske fuglefjell, og i Fastlands-Norge finnes den bare i svært små antall i noen kolonier i Finnmark.","Ca. 46 cm","Ca. 1 kg","Svart-hvit alkefugl med spisst nebb, hvit nebbstripe og hvite kroppssider. Ligner lomvi.","Saltvann, kyst og fuglefjell.","Hekker svært fåtallig i Fastlands-Norge, men er vanligere på Bjørnøya og Spitsbergen.","Hekker i sommerhalvåret. Utenom hekketiden oppholder den seg på havet.","Småfisk, krepsdyr og andre marine byttedyr som fanges ved dykking.","CR – Kritisk truet","Finnes i Norge. Kritisk truet hekkefugl på Fastlands-Norge.","203563","https://artsdatabanken.no/arter/takson/203563","https://snl.no/polarlomvi","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Polarsisik","polarsisik","publish","Fugler","Acanthis flammea subsp. exilipes","Polarsisik er en lys nordlig sisik knyttet til fjell, tundra og nordlig skog.","Polarsisik er en liten, lys fink som ligner gråsisik, men er ofte lysere og mer hvitlig med mindre mørk strekning. Artsdatabanken behandler polarsisik som underarten Acanthis flammea subsp. exilipes. Den er knyttet til fjell, tundra og nordlige skogområder.","Ca. 12–14 cm","Ca. 10–16 g","Lys sisik med rød panneflekk, svart strupeflekk og ofte lysere, mer frostet inntrykk enn gråsisik.","Fjell, tundralignende områder og nordlig skog.","Forekommer i Norge, særlig i nordlige og høyereliggende områder.","Hele året eller som streiffugl, avhengig av område og mattilgang.","Små frø fra bjørk, vier, or, gras og urter.","LC – Livskraftig","Finnes i Norge. Rødlistevurdert som underart i Artsdatabanken.","224064","https://artsdatabanken.no/arter/takson/224064","https://snl.no/polarsisik","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Rapphøne","rapphone","publish","Fugler","Perdix perdix","Rapphøne er en hønsefugl i kulturlandskap som regnes som regionalt utdødd som hekkefugl i Norge.","Rapphøne er en liten og rund hønsefugl med gråbrun kropp, oransjebrunt ansikt og brun hesteskoformet flekk på buken hos mange voksne fugler. Arten er knyttet til åpent kulturlandskap, enger og åkerkanter, men er vurdert som regionalt utdødd i Norge.","Ca. 28–32 cm","Ca. 300–450 g","Kompakt hønsefugl med oransjebrunt ansikt, gråbrun kropp og ofte mørk hesteskoformet bukflekk.","Semi-naturlig mark, våtmark og åpent kulturlandskap.","Tidligere hekkefugl i Norge, men vurdert som regionalt utdødd.","Kan forekomme som utsatt eller tilfeldig fugl, men regnes ikke som etablert hekkefugl.","Frø, grønne plantedeler og insekter, særlig for kyllingene.","RE – Regionalt utdødd","Finnes i Norge, men er regionalt utdødd som naturlig hekkende art.","203490","https://artsdatabanken.no/arter/takson/203490","https://snl.no/rapph%C3%B8ne","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
